feature_set,threshold,t_review,t_block,total_transactions,approve_count,review_count,block_count,approval_rate,review_rate,block_rate,fp_count,fn_count,tp_count,tn_count,fraud_recall,precision,fp_cost,fn_cost,review_cost,friction_cost,total_cost,cost_per_1000
Baseline,0.35999999999999993,0.2,0.36,3000,2756,8,236,0.9187,0.0027,0.0787,13,0,231,2756,1.0,0.9467,90.0,0.0,40.0,26.0,156.0,52.0
Enhanced,0.37999999999999995,0.2,0.38,3000,2756,27,217,0.9187,0.009,0.0723,14,1,230,2755,0.9957,0.9426,15.0,85.0,135.0,28.0,263.0,87.67
